Sr No,startup,vertical,city,investors,round,amount,year,state
1315,intouchapp,Consumer Internet,Pune,Blume ventures,Seed Funding,0,2016,Maharashtra
1316,Inuxu,Technology,Pune,Fork media,Private Equity,24.75,2016,Maharashtra
1317,Invictus Oncology,Healthcare,New Delhi,Ratan tata,Private Equity,0,2016,Delhi
1318,IQlect,Data Analytics,Bengaluru,"Lip-bu tan, Michael marks, Nicolas braithwaite",Private Equity,0,2016,Karnataka
1319,iServe Financial,Consumer Internet,Pune,Nilesh shah,Seed Funding,0,2016,Maharashtra
1320,ISFC,Finance,Hyderabad,Gray matters capital,Private Equity,49.5,2016,Telangana
1321,iStyleYou,Consumer Internet,Gurugram,Green house ventures (ghv),Seed Funding,0.83,2016,Haryana
1322,Jaypore,E-Commerce,New Delhi,Aavishkaar,Private Equity,41.25,2016,Delhi
1323,Jazzmyride,E-Commerce,New Delhi,Tvs automobile solutions ltd,Private Equity,0,2016,Delhi
1324,Jivox,Technology,Bengaluru,"You & mr jones, Fortisure ventures, Diaz nesamoney",Private Equity,49.5,2016,Karnataka
1325,Jobick,Consumer Internet,Noida,Abhinav mathur,Seed Funding,0,2016,Uttar Pradesh
1326,JoeHukum,Technology,Gurugram,Sumit jain,Seed Funding,0,2016,Haryana
1327,JollyFoodFellow,Food ,Ahmedabad,Janak parikh,Seed Funding,0,2016,Gujarat
1328,Joolz,E-Commerce,Mumbai,"Powerhouse ventures, M&s partners",Private Equity,4.13,2016,Maharashtra
1329,JoulestoWatts,Technology,Bengaluru,Manipal global education services,Seed Funding,0,2016,Karnataka
1330,Jugnoo,Transportation,Chandigarh,Paytm & existing investors,Private Equity,82.5,2016,Chandigarh
1331,Jugnoo,Transportation,Chandigarh,Saumya tandon,Private Equity,0,2016,Chandigarh
1332,JusPay,FinTech,Bengaluru,"Accel partners, Ashish hemrajani, Parikshit dar, Rajesh balpande",Private Equity,47.85,2016,Karnataka
